payment_date,customer_id,amount,running_total
2007-02-14 23:22:38.996577,1,5.99,5.99
2007-02-15 16:31:19.996577,1,0.99,6.98
2007-02-15 19:37:12.996577,1,9.99,16.97
2007-02-16 13:47:23.996577,1,4.99,21.96
2007-02-18 07:10:14.996577,1,4.99,26.95
2007-02-18 12:02:25.996577,1,0.99,27.94
2007-02-21 04:53:11.996577,1,3.99,31.93
2007-03-01 07:19:30.996577,1,4.99,36.92
2007-03-02 14:05:18.996577,1,3.99,40.91
2007-03-02 16:30:04.996577,1,0.99,41.9
2007-03-17 11:06:20.996577,1,4.99,46.89
2007-03-18 02:25:55.996577,1,0.99,47.88
2007-03-19 08:23:42.996577,1,0.99,48.87
2007-03-19 12:25:20.996577,1,2.99,51.86
2007-03-21 22:02:23.996577,1,0.99,52.85
2007-03-21 23:56:23.996577,1,1.99,54.84
2007-03-22 18:10:03.996577,1,2.99,57.83
2007-03-22 18:32:12.996577,1,5.99,63.82
2007-04-08 01:45:31.996577,1,5.99,69.81
2007-04-08 06:02:22.996577,1,5.99,75.8
2007-04-09 11:52:33.996577,1,4.99,80.79
2007-04-09 15:06:27.996577,1,4.99,85.78
2007-04-11 08:42:12.996577,1,7.99,93.77
2007-04-27 09:59:48.996577,1,2.99,96.76
2007-04-28 07:33:11.996577,1,4.99,101.75
2007-04-28 14:46:49.996577,1,4.99,106.74
2007-04-28 16:02:05.996577,1,0.99,107.73
2007-04-28 17:48:33.996577,1,0.99,108.72
2007-04-29 02:27:15.996577,1,2.99,111.71
2007-04-30 01:10:44.996577,1,2.99,114.7
2007-02-17 19:23:24.996577,2,2.99,2.99
2007-03-01 08:13:52.996577,2,0.99,3.98
2007-03-02 00:39:22.996577,2,0.99,4.97
2007-03-02 06:10:07.996577,2,5.99,10.96
2007-03-02 09:12:14.996577,2,6.99,17.95
2007-03-02 12:13:19.996577,2,2.99,20.94
2007-03-17 02:20:44.996577,2,2.99,23.93
2007-03-19 04:54:30.996577,2,2.99,26.92
2007-03-21 11:52:58.996577,2,4.99,31.91
2007-03-21 21:10:22.996577,2,5.99,37.9
2007-03-22 12:21:30.996577,2,4.99,42.89
2007-03-23 16:08:01.996577,2,4.99,47.88
2007-04-10 04:59:50.996577,2,2.99,50.87
2007-04-10 11:07:22.996577,2,6.99,57.86
2007-04-27 12:59:08.996577,2,4.99,62.85
2007-04-27 13:51:28.996577,2,5.99,68.84
2007-04-27 17:08:46.996577,2,5.99,74.83
2007-04-28 22:41:25.996577,2,5.99,80.82
2007-04-29 11:25:25.996577,2,2.99,83.81
2007-04-29 15:42:55.996577,2,5.99,89.8
2007-04-30 04:34:36.996577,2,4.99,94.79
2007-04-30 12:16:09.996577,2,10.99,105.78
2007-04-30 12:42:37.996577,2,0.99,106.77
2007-04-30 14:49:39.996577,2,6.99,113.76
2007-04-30 20:27:22.996577,2,2.99,116.75
2007-04-30 21:08:19.996577,2,6.99,123.74
2007-02-16 00:02:31.996577,3,8.99,8.99
2007-02-16 13:47:36.996577,3,6.99,15.98
2007-02-17 03:43:41.996577,3,6.99,22.97
2007-02-19 07:03:19.996577,3,2.99,25.96
2007-03-01 12:48:14.996577,3,5.99,31.95
2007-03-18 13:18:21.996577,3,4.99,36.94
2007-03-19 20:46:33.996577,3,8.99,45.93
2007-03-20 04:42:38.996577,3,2.99,48.92
2007-03-21 19:19:14.996577,3,8.99,57.91
2007-03-22 08:05:53.996577,3,0.99,58.9
2007-03-23 05:38:40.996577,3,2.99,61.89
2007-04-07 08:51:51.996577,3,4.99,66.88
2007-04-08 11:15:37.996577,3,4.99,71.87
2007-04-27 03:23:08.996577,3,5.99,77.86
2007-04-27 18:51:38.996577,3,10.99,88.85
2007-04-28 02:27:47.996577,3,7.99,96.84
2007-04-28 03:14:56.996577,3,6.99,103.83
2007-04-28 10:15:11.996577,3,4.99,108.82
2007-04-28 16:45:40.996577,3,4.99,113.81
2007-04-29 09:35:30.996577,3,2.99,116.8
2007-04-30 01:56:24.996577,3,2.99,119.79
2007-04-30 10:01:24.996577,3,4.99,124.78
2007-04-30 11:59:46.996577,3,1.99,126.77
2007-04-30 20:14:12.996577,3,3.99,130.76
2007-02-15 07:59:54.996577,4,4.99,4.99
2007-02-16 06:37:06.996577,4,0.99,5.98
2007-02-16 12:29:53.996577,4,2.99,8.97
2007-02-16 14:20:18.996577,4,0.99,9.96
2007-02-17 12:59:38.996577,4,0.99,10.95
2007-02-19 08:07:27.996577,4,5.99,16.94
2007-03-02 05:38:00.996577,4,0.99,17.93
2007-03-02 06:48:57.996577,4,2.99,20.92
2007-03-16 22:56:27.996577,4,4.99,25.91
2007-03-17 22:42:29.996577,4,2.99,28.9
2007-03-18 03:43:10.996577,4,8.99,37.89
2007-03-19 00:47:39.996577,4,1.99,39.88
2007-03-20 08:00:30.996577,4,2.99,42.87
2007-03-20 11:24:06.996577,4,6.99,49.86
2007-03-21 03:22:03.996577,4,4.99,54.85
2007-03-22 12:26:49.996577,4,2.99,57.84
2007-03-23 06:11:26.996577,4,1.99,59.83
2007-04-28 00:38:36.996577,4,2.99,62.82
2007-04-28 03:06:25.996577,4,2.99,65.81
2007-04-29 17:13:23.996577,4,3.99,69.8
2007-04-30 07:14:35.996577,4,5.99,75.79
2007-04-30 17:26:26.996577,4,5.99,81.78
2007-02-15 20:31:40.996577,5,3.99,3.99
2007-02-16 06:29:28.996577,5,2.99,6.98
2007-02-17 14:25:19.996577,5,4.99,11.97
2007-02-19 02:48:39.996577,5,2.99,14.96
2007-02-20 17:06:48.996577,5,4.99,19.95
2007-03-01 13:17:11.996577,5,4.99,24.94
2007-03-01 13:55:36.996577,5,0.99,25.93
2007-03-02 03:25:11.996577,5,4.99,30.92
2007-03-02 09:18:32.996577,5,4.99,35.91
2007-03-17 14:57:19.996577,5,3.99,39.9
2007-03-17 22:38:30.996577,5,9.99,49.89
2007-03-18 22:52:34.996577,5,2.99,52.88
2007-03-19 08:14:07.996577,5,1.99,54.87
2007-03-20 13:44:44.996577,5,0.99,55.86
2007-03-20 20:42:25.996577,5,6.99,62.85
2007-03-21 09:59:37.996577,5,6.99,69.84
2007-03-21 12:31:16.996577,5,2.99,72.83
2007-03-22 16:05:28.996577,5,0.99,73.82
2007-04-06 07:40:24.996577,5,4.99,78.81
2007-04-08 18:33:09.996577,5,2.99,81.8
2007-04-09 00:26:23.996577,5,4.99,86.79
2007-04-09 05:42:18.996577,5,5.99,92.78
2007-04-09 07:20:08.996577,5,1.99,94.77
2007-04-10 09:38:01.996577,5,0.99,95.76
2007-04-11 01:45:30.996577,5,8.99,104.75
2007-04-12 09:56:01.996577,5,3.99,108.74
2007-04-12 10:44:54.996577,5,4.99,113.73
2007-04-27 11:05:54.996577,5,0.99,114.72
2007-04-28 00:18:55.996577,5,0.99,115.71
2007-04-28 07:12:05.996577,5,3.99,119.7
2007-04-28 23:39:49.996577,5,2.99,122.69
2007-04-30 02:42:54.996577,5,1.99,124.68
2007-04-30 12:29:19.996577,5,3.99,128.67
2007-04-30 22:20:56.996577,5,4.99,133.66
2007-05-14 13:44:29.996577,5,0.99,134.65
2007-02-16 02:10:04.996577,6,3.99,3.99
2007-02-16 22:12:39.996577,6,2.99,6.98
2007-02-17 07:48:11.996577,6,0.99,7.97
2007-02-18 10:31:49.996577,6,0.99,8.96
2007-03-01 01:42:05.996577,6,2.99,11.95
2007-03-02 04:05:04.996577,6,2.99,14.94
2007-03-02 17:23:41.996577,6,3.99,18.93
2007-03-17 00:58:07.996577,6,6.99,25.92
2007-03-17 06:40:46.996577,6,0.99,26.91
2007-03-17 12:07:58.996577,6,0.99,27.9
2007-03-18 02:33:55.996577,6,2.99,30.89
2007-03-19 22:46:51.996577,6,6.99,37.88
2007-03-21 06:51:22.996577,6,7.99,45.87
2007-03-21 08:17:54.996577,6,4.99,50.86
2007-03-23 01:19:50.996577,6,5.99,56.85
2007-03-23 05:09:58.996577,6,0.99,57.84
2007-04-06 21:42:47.996577,6,0.99,58.83
2007-04-07 13:21:50.996577,6,2.99,61.82
2007-04-10 01:32:01.996577,6,0.99,62.81
2007-04-11 11:07:27.996577,6,5.99,68.8
2007-04-11 13:30:20.996577,6,7.99,76.79
2007-04-12 10:47:04.996577,6,0.99,77.78
