customer_id,total_spend,spending_category
148,211.55,High spender
526,208.58,High spender
178,194.61,High spender
137,191.62,High spender
144,189.6,High spender
459,183.63,High spender
181,167.67,High spender
410,167.62,High spender
236,166.61,High spender
403,162.67,High spender
522,161.68,High spender
469,158.65,High spender
470,157.69,High spender
373,156.66,High spender
259,154.7,High spender
468,154.66,High spender
462,152.69,High spender
372,152.68,High spender
187,151.73,High spender
550,151.69,High spender
176,151.68,High spender
532,149.69,Medium spender
75,149.61,Medium spender
209,147.71,Medium spender
86,146.68,Medium spender
26,146.68,Medium spender
21,146.68,Medium spender
211,146.67,Medium spender
346,145.7,Medium spender
366,145.64,Medium spender
50,144.7,Medium spender
360,144.68,Medium spender
348,144.66,Medium spender
513,143.7,Medium spender
454,143.68,Medium spender
347,142.7,Medium spender
390,142.69,Medium spender
267,142.67,Medium spender
257,142.66,Medium spender
39,141.71,Medium spender
78,141.69,Medium spender
362,140.69,Medium spender
363,139.72,Medium spender
368,139.69,Medium spender
119,139.69,Medium spender
66,139.67,Medium spender
237,138.69,Medium spender
29,138.65,Medium spender
87,137.72,Medium spender
80,137.7,Medium spender
439,137.67,Medium spender
558,135.72,Medium spender
494,135.7,Medium spender
576,135.68,Medium spender
591,134.73,Medium spender
467,134.72,Medium spender
479,134.71,Medium spender
210,134.7,Medium spender
120,134.7,Medium spender
204,134.69,Medium spender
15,134.68,Medium spender
5,134.65,Medium spender
349,133.72,Medium spender
404,133.71,Medium spender
172,133.7,Medium spender
197,133.68,Medium spender
265,132.72,Medium spender
533,132.7,Medium spender
380,132.65,Medium spender
472,131.74,Medium spender
13,131.73,Medium spender
46,131.69,Medium spender
125,131.69,Medium spender
3,130.76,Medium spender
273,130.72,Medium spender
7,130.72,Medium spender
502,130.7,Medium spender
566,130.68,Medium spender
342,130.68,Medium spender
112,129.72,Medium spender
560,129.71,Medium spender
102,129.7,Medium spender
168,129.68,Medium spender
484,128.73,Medium spender
103,128.71,Medium spender
242,128.71,Medium spender
84,128.7,Medium spender
196,128.69,Medium spender
448,127.73,Medium spender
221,127.73,Medium spender
520,127.69,Medium spender
141,127.69,Medium spender
38,127.66,Medium spender
200,126.74,Medium spender
206,126.73,Medium spender
146,126.73,Medium spender
436,126.73,Medium spender
108,126.72,Medium spender
114,126.7,Medium spender
426,125.74,Medium spender
482,125.74,Medium spender
295,125.72,Medium spender
147,125.68,Medium spender
354,125.67,Medium spender
45,124.74,Medium spender
89,124.71,Medium spender
198,124.68,Medium spender
129,124.66,Medium spender
2,123.74,Medium spender
300,123.74,Medium spender
506,123.72,Medium spender
371,123.71,Medium spender
51,123.7,Medium spender
27,123.7,Medium spender
30,123.66,Medium spender
434,122.74,Medium spender
92,122.74,Medium spender
535,122.72,Medium spender
163,122.71,Medium spender
244,122.7,Medium spender
473,122.69,Medium spender
508,121.77,Medium spender
166,121.73,Medium spender
497,121.73,Medium spender
451,121.7,Medium spender
438,121.7,Medium spender
406,121.69,Medium spender
491,120.75,Medium spender
423,120.74,Medium spender
179,120.74,Medium spender
499,120.71,Medium spender
122,120.7,Medium spender
59,119.76,Medium spender
389,119.75,Medium spender
487,119.74,Medium spender
306,119.72,Medium spender
207,119.72,Medium spender
82,118.76,Medium spender
41,118.75,Medium spender
589,118.75,Medium spender
565,118.73,Medium spender
128,118.7,Medium spender
35,118.7,Medium spender
230,118.69,Medium spender
583,117.77,Medium spender
285,117.77,Medium spender
585,117.76,Medium spender
504,117.75,Medium spender
421,117.75,Medium spender
573,117.72,Medium spender
49,116.76,Medium spender
149,116.75,Medium spender
253,116.74,Medium spender
274,116.73,Medium spender
263,116.73,Medium spender
71,116.72,Medium spender
356,116.71,Medium spender
512,115.74,Medium spender
56,115.74,Medium spender
529,115.72,Medium spender
393,115.71,Medium spender
158,115.7,Medium spender
279,114.76,Medium spender
54,114.74,Medium spender
584,114.73,Medium spender
262,114.73,Medium spender
107,114.72,Medium spender
388,114.72,Medium spender
1,114.7,Medium spender
433,113.77,Medium spender
309,113.75,Medium spender
266,113.74,Medium spender
302,113.74,Medium spender
139,113.73,Medium spender
569,113.73,Medium spender
416,113.72,Medium spender
314,113.71,Medium spender
260,113.7,Medium spender
540,112.76,Medium spender
582,112.76,Medium spender
63,112.75,Medium spender
32,112.74,Medium spender
131,112.73,Medium spender
485,112.72,Medium spender
453,111.77,Medium spender
337,111.76,Medium spender
225,111.76,Medium spender
577,111.74,Medium spender
173,111.73,Medium spender
579,111.73,Medium spender
113,111.73,Medium spender
186,111.71,Medium spender
592,111.71,Medium spender
42,111.71,Medium spender
531,110.77,Medium spender
258,110.76,Medium spender
495,110.76,Medium spender
515,110.74,Medium spender
154,110.73,Medium spender
213,110.73,Medium spender
559,110.72,Medium spender
90,110.72,Medium spender
595,110.71,Medium spender
241,110.68,Medium spender
170,109.77,Medium spender
536,109.77,Medium spender
575,109.76,Medium spender
220,109.75,Medium spender
16,109.75,Medium spender
538,109.73,Medium spender
376,109.73,Medium spender
447,109.73,Medium spender
386,109.72,Medium spender
446,109.72,Medium spender
481,109.72,Medium spender
424,109.71,Medium spender
284,108.78,Medium spender
594,108.77,Medium spender
590,108.76,Medium spender
277,108.76,Medium spender
518,108.75,Medium spender
334,108.75,Medium spender
574,108.73,Medium spender
239,108.72,Medium spender
167,108.71,Medium spender
293,107.79,Medium spender
571,107.78,Medium spender
427,107.77,Medium spender
332,107.74,Medium spender
441,107.73,Medium spender
145,107.73,Medium spender
588,107.73,Medium spender
157,107.71,Medium spender
254,107.7,Medium spender
418,107.7,Medium spender
91,107.66,Medium spender
477,106.79,Medium spender
343,106.77,Medium spender
240,106.77,Medium spender
155,106.76,Medium spender
234,106.75,Medium spender
471,106.74,Medium spender
116,106.74,Medium spender
23,106.73,Medium spender
457,106.73,Medium spender
160,106.73,Medium spender
